id,company_id,name,clid,color,color_id,status,managers,placements
3054,1525,1. Секция планирования закупок,nan,#D1F3FF,1,1,[],[]
3105,1525,4.1.1_Процессинговая группа,nan,#D1F3FF,1,1,[],[]
4812,1525,01_Администрация магазина АРС-1,nan,#D1F3FF,1,1,[],[]
4723,1525,01_Руководители магазина,nan,#D1F3FF,1,1,[],[]
4710,1525,02_Отдел управления ассортиментом и запасами магазина ВЛД-1,nan,#D1F3FF,1,1,[],[]
4748,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
3021,1525,03.5.2_Ресепшн,nan,#D1F3FF,1,1,[],[]
3025,1525,07.4.2_Группа проектирования,nan,#D1F3FF,1,1,[],[]
3029,1525,07.4.6_Производственная мастерская,nan,#D1F3FF,1,1,[],[]
3033,1525,01.1.1.2_Группа контроля СПХ,nan,#D1F3FF,1,1,[],[]
3037,1525,05.1_Отдел внешне-экономической деятельности,nan,#D1F3FF,1,1,[],[]
3041,1525,05.2.1_Товарное направление Toys&games,nan,#D1F3FF,1,1,[],[]
4764,1525,05_Кассовый отдел,nan,#D1F3FF,1,1,[],[]
3045,1525,09.1_Процессный офис,nan,#D1F3FF,1,1,[],[]
3049,1525,03.2_Отдел развития персонала,nan,#D1F3FF,1,1,[],[]
3053,1525,05_Коммерческий департамент,nan,#D1F3FF,1,1,[],[]
3065,1525,06.1_Служба логистики,nan,#D1F3FF,1,1,[],[]
3115,1525,Секция открытия новых магазинов,nan,#D1F3FF,1,1,[],[]
2395,1525,03_HR-департамент,nan,#2898FF,271,1,[],[]
3102,1525,08.2_Отдел регионального развития,nan,#D1F3FF,1,1,[],[]
3103,1525,08.3_Отдел продаж ключевым клиентам,nan,#D1F3FF,1,1,[],[]
3104,1525,Отдел организационного развития,nan,#D1F3FF,1,1,[],[]
3106,1525,03.6_Группа по аттестации и оценке персонала,nan,#D1F3FF,1,1,[],[]
3107,1525,02.6_Группа планирования и бюджетного контроля,nan,#D1F3FF,1,1,[],[]
3108,1525,02.3_Группа методологии учета,nan,#D1F3FF,1,1,[],[]
3109,1525,09_Департамент информационных технологий,nan,#D1F3FF,1,1,[],[]
3110,1525,09.1_Отдел информационных технологий,nan,#D1F3FF,1,1,[],[]
3111,1525,09.1.1_Группа бизнес-аналитики,nan,#D1F3FF,1,1,[],[]
4772,1525,07_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
3113,1525,09.1.3_Группа запуска магазинов,nan,#D1F3FF,1,1,[],[]
3114,1525,09.1.4_Группа технической поддержки,nan,#D1F3FF,1,1,[],[]
3116,1525,07.2_Группа проектирования и дизайна,nan,#D1F3FF,1,1,[],[]
3118,1525,07.4_Производственная мастерская,nan,#D1F3FF,1,1,[],[]
3119,1525,03.5.2_Группа подбора и адаптации персонала розницы,nan,#D1F3FF,1,1,[],[]
3121,1525,06.3.5,nan,#D1F3FF,1,1,[],[]
4780,1525,07_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
4869,1525,02_Отдел управления ассортиментом и запасами магазина ПКМ-2,nan,#D1F3FF,1,1,[],[]
4820,1525,03_Служба торгового зала ЕКТ-1,nan,#D1F3FF,1,1,[],[]
4879,1525,03_Служба торгового зала КМС-1,nan,#D1F3FF,1,1,[],[]
4734,1525,04_Отдел обслуживания клиентов АРТ-1,nan,#D1F3FF,1,1,[],[]
4847,1525,04_Отдел обслуживания клиентов ЕКТ-3,nan,#D1F3FF,1,1,[],[]
4889,1525,04_Отдел обслуживания клиентов КРС-1,nan,#D1F3FF,1,1,[],[]
3117,1525,Секция технической эксплуатации магазинов и ГО,nan,#D1F3FF,1,1,[],[]
3120,1525,6_Департамент развития,nan,#D1F3FF,1,1,[],[]
3068,1525,Секция планирования маршрутов и графиков доставки,nan,#D1F3FF,1,1,[],[]
4788,1525,Временные сотрудники,nan,#D1F3FF,1,1,[],[]
4798,1525,01_Руководители магазина,nan,#D1F3FF,1,1,[],[]
3061,1525,06.4.1_Группа бизнес-аналитики,nan,#D1F3FF,1,1,[],[]
4828,1525,07_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
4836,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4854,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
4861,1525,05_Кассовый отдел,nan,#D1F3FF,1,1,[],[]
4885,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
4895,1525,05_Кассовый отдел,nan,#D1F3FF,1,1,[],[]
4902,1525,03_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
4908,1525,06_Отдел приемки товара,nan,#D1F3FF,1,1,[],[]
6090,1525,03.4.1_Группа по подбору персонала (Офис/РЦ),nan,#D1F3FF,1,1,[],[]
8705,1525,Находка-1,nan,#D1F3FF,1,1,[],[]
9030,1525,1.3.2_Группа кадрового делопроизводства (магазины),nan,#D1F3FF,1,1,[],[]
9295,1525,Функции отдела Понимания BW,nan,#D1F3FF,1,1,[],[]
9312,1525,6. Секция графического дизайна BW,nan,#D1F3FF,1,1,[],[]
9329,1525,4. Секция торгового оборудования T&G,nan,#D1F3FF,1,1,[],[]
9346,1525,3.4. Сектор каталога G,nan,#D1F3FF,1,1,[],[]
9363,1525,3.3. Сектор каталога S,nan,#D1F3FF,1,1,[],[]
3392,1525,05.4_Отдел продвижения и рекламы,nan,#D1F3FF,1,1,[],[]
3393,1525,09.2.1_Группа администрирования систем,nan,#D1F3FF,1,1,[],[]
3394,1525,09.2.2_Группа администрирования сетей,nan,#D1F3FF,1,1,[],[]
7430,1525,Учебный центр,nan,#D1F3FF,1,1,[],[]
7446,1525,03.2.1.2_Группа кадрового делопроизводства (магазины),nan,#D1F3FF,1,1,[],[]
6350,1525,09.3.4_Группа анализа и проектирования,nan,#D1F3FF,1,1,[],[]
7367,1525,03.1_Отдел подбора персонала (офис/РЦ),nan,#D1F3FF,1,1,[],[]
7546,1525,11.1_Отдел разработки контента,nan,#D1F3FF,1,1,[],[]
7547,1525,11.2_Отдел по работе с постоянными клиентами,nan,#D1F3FF,1,1,[],[]
4711,1525,04_Отдел обслуживания клиентов ВЛД-1,nan,#D1F3FF,1,1,[],[]
8706,1525,Челябинск-2,nan,#D1F3FF,1,1,[],[]
7431,1525,Учебный центр,nan,#D1F3FF,1,1,[],[]
7447,1525,03.2.1.1_Группа кадрового делопроизводства (офис/РЦ),nan,#D1F3FF,1,1,[],[]
7548,1525,11.3_Отдел привлечения новых клиентов,nan,#D1F3FF,1,1,[],[]
3793,1525,09.3.1_Группа обслуживания бизнес-систем,nan,#D1F3FF,1,1,[],[]
3794,1525,09.1.2_Группа техподдержки магазинов,nan,#D1F3FF,1,1,[],[]
3795,1525,09.2.1_Группа администрирования серверов,nan,#D1F3FF,1,1,[],[]
3796,1525,09.2.2_Группа администрирования сетей,nan,#D1F3FF,1,1,[],[]
3797,1525,09.3.3_Группа развития 1С ERP,nan,#D1F3FF,1,1,[],[]
4724,1525,Вспомогательный отдел,nan,#D1F3FF,1,1,[],[]
3799,1525,09.1.1_Группа первой линии техподдержки,nan,#D1F3FF,1,1,[],[]
3800,1525,09.1_Отдел техподдержки,nan,#D1F3FF,1,1,[],[]
3801,1525,09.3_Отдел обслуживания и развития систем,nan,#D1F3FF,1,1,[],[]
4712,1525,Владивосток-1,nan,#D1F3FF,1,1,[],[]
4725,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
4735,1525,01_Руководители магазина,nan,#D1F3FF,1,1,[],[]
4749,1525,07_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
4765,1525,07_Служба торгового зала,nan,#D1F3FF,1,1,[],[]
4773,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
4781,1525,08_Отдел контроля и предотвращения потерь,nan,#D1F3FF,1,1,[],[]
4789,1525,03_Отдел обслуживания клиентов,nan,#D1F3FF,1,1,[],[]
7448,1525,03.2.1.1_Группа кадрового делопроизводства (офис/РЦ),nan,#D1F3FF,1,1,[],[]
9031,1525,1.3.1_Группа кадрового делопроизводства (офис/РЦ),nan,#D1F3FF,1,1,[],[]
